Circonscription;Resultats
"0101";39.37, RN - 23.96, LR - 23.45, UG;Triangulaire
"0102";39.20, RN - 24.21, ENS - 23.61, UG;Triangulaire
"0103";32.43, ENS - 32.11, RN - 25.12, UG;Triangulaire
"0104";46.01, RN - 21.87, ENS - 19.96, UG;Triangulaire
"0105";39.12, UXD - 24.34, UG;Duel
"0201";54.49, RN;Elu
"0202";47.06, RN - 35.66, LR;Duel
"0203";57.64, EXD;Elu
"0204";55.04, RN;Elu
"0205";53.07, RN;Elu
"0301";38.61, RN - 28.84, UG;Duel
"0302";34.33, RN - 24.06, UG - 19.67, LR;Triangulaire
"0303";40.05, LR - 37.82, RN - 20.40, UG;Triangulaire
"0401";44.30, RN - 27.26, UG - 19.35, ENS;Triangulaire
"0402";40.89, UXD - 32.99, UG - 22.69, ENS;Triangulaire
"0501";38.24, RN - 30.47, UG - 22.58, ENS;Triangulaire
"0502";33.88, RN - 32.70, UG - 26.70, ENS;Triangulaire
"0601";41.04, UXD - 26.62, UG - 22.79, ENS;Triangulaire
"0602";48.08, RN - 19.01, UG;Duel
"0603";41.47, UXD - 27.24, UG - 25.36, ENS;Triangulaire
"0604";56.27, RN;Elu
"0605";50.35, UXD;Elu
"0606";50.85, RN;Elu
"0607";36.32, RN - 24.88, LR;Duel
"0608";42.74, RN - 28.39, LR;Duel
"0609";42.31, RN - 33.84, LR;Duel
"0701";39.95, RN - 38.24, UG;Duel
"0702";35.75, UXD - 24.97, UG;Duel
"0703";31.95, RN - 28.31, UG - 26.48, DVD;Triangulaire
"0801";38.33, RN - 26.16, ENS;Duel
"0802";40.83, RN - 30.15, DVD;Duel
"0803";43.56, DVD - 43.38, RN;Duel
"0901";50.74, UG;Elu
"0902";48.25, UG - 40.41, RN;Duel
"1001";53.84, RN;Elu
"1002";44.83, RN - 27.93, LR;Duel
"1003";43.33, RN - 24.39, UG;Duel
"1101";49.33, RN - 18.70, UG;Duel
"1102";48.12, RN - 26.02, UG - 19.32, ENS;Triangulaire
"1103";44.70, RN - 32.67, UG;Duel
"1201";43.58, ENS - 31.48, RN - 22.74, UG;Triangulaire
"1202";33.11, RN - 32.73, UG - 30.55, ENS;Triangulaire
"1203";35.46, UXD - 32.45, ENS - 28.81, UG;Triangulaire
"1301";45.54, RN - 26.90, UG - 23.61, ENS;Triangulaire
"1302";32.06, RN - 28.49, UG - 27.01, ENS;Triangulaire
"1303";42.75, RN - 35.68, UG;Duel
"1304";67.49, UG;Elu
"1305";25.77, RN - 24.44, DVG - 23.32, UG;Triangulaire
"1306";38.27, UXD - 28.22, UG - 25.13, ENS;Triangulaire
"1307";59.67, UG;Elu
"1308";44.63, RN - 26.73, ENS - 20.07, UG;Triangulaire
"1309";45.20, RN - 23.76, UG;Duel
"1310";48.83, RN - 21.54, ENS - 20.80, UG;Triangulaire
"1311";38.87, RN - 27.54, UG - 26.28, ENS;Triangulaire
"1312";54.07, RN;Elu
"1313";47.53, RN - 36.02, UG;Duel
"1314";31.65, UXD - 29.48, UG - 28.91, ENS;Triangulaire
"1315";49.48, RN - 20.21, UG;Duel
"1316";47.12, RN - 29.92, UG;Duel
"1401";43.11, DVD - 34.82, UG - 19.95, RN;Triangulaire
"1402";42.34, UG - 25.84, RN;Duel
"1403";41.09, RN - 36.46, ENS;Duel
"1404";33.65, RN - 32.80, ENS - 19.78, UG;Triangulaire
"1405";31.86, RN - 24.59, ENS - 24.46, UG;Triangulaire
"1406";36.26, RN - 28.93, ENS - 23.16, UG;Triangulaire
"1501";37.66, DVD - 30.29, RN - 22.43, UG;Triangulaire
"1502";34.29, DVD - 33.02, RN;Duel
"1601";32.80, UG - 30.30, HOR - 30.26, RN;Triangulaire
"1602";38.91, UXD - 27.39, ENS - 20.34, UG;Triangulaire
"1603";42.95, RN - 25.88, UG - 24.52, ENS;Triangulaire
"1701";45.64, DVG - 29.64, UG - 22.65, RN;Triangulaire
"1702";34.41, RN - 26.94, UG - 25.33, ENS;Triangulaire
"1703";40.85, RN - 28.07, UG - 27.88, ENS;Triangulaire
"1704";45.21, RN - 27.95, ENS;Duel
"1705";43.83, RN - 32.75, HOR - 22.15, UG;Triangulaire
"1801";39.94, RN - 33.01, ENS - 25.22, UG;Triangulaire
"1802";40.56, RN - 29.68, UG - 20.83, ENS;Triangulaire
"1803";43.15, RN - 31.20, ENS;Duel
"1901";37.63, UG - 30.89, RN - 28.64, LR;Triangulaire
"1902";36.28, RN - 35.04, LR - 26.63, UG;Triangulaire
"2101";29.16, UG - 27.48, ENS - 25.77, RN;Triangulaire
"2102";34.64, RN - 27.67, UG - 24.65, ENS;Triangulaire
"2103";35.44, UXD - 29.59, UG - 23.81, ENS;Triangulaire
"2104";42.24, RN - 35.19, LR - 20.47, UG;Triangulaire
"2105";45.31, RN - 30.98, ENS - 19.30, UG;Triangulaire
"2201";32.96, ENS - 30.38, UG - 25.75, RN;Triangulaire
"2202";33.61, ENS - 30.96, RN - 25.71, UG;Triangulaire
"2203";31.96, LR - 28.57, RN - 22.92, UG;Triangulaire
"2204";34.30, RN - 31.03, UG - 30.56, ENS;Triangulaire
"2205";37.81, ENS - 30.60, UG - 29.08, RN;Triangulaire
"2301";33.35, UXD - 23.47, UG - 22.12, DVD;Triangulaire
"2401";38.24, RN - 29.42, UG - 24.30, ENS;Triangulaire
"2402";42.71, RN - 28.27, UG - 19.58, ENS;Triangulaire
"2403";40.13, RN - 28.58, UG - 23.33, ENS;Triangulaire
"2404";36.01, RN - 34.49, UG;Duel
"2501";33.52, ENS - 31.76, UG - 31.20, RN;Triangulaire
"2502";34.16, UG - 30.12, RN - 26.79, ENS;Triangulaire
"2503";44.35, UXD - 30.22, ENS - 21.56, UG;Triangulaire
"2504";47.63, RN - 28.26, UG - 20.43, ENS;Triangulaire
"2505";35.20, LR - 33.73, RN;Duel
"2601";32.41, UG - 31.08, RN;Duel
"2602";42.85, RN - 22.81, UG - 18.94, ENS;Triangulaire
"2603";37.96, UG - 32.26, UXD - 19.09, ENS;Triangulaire
"2604";38.37, RN - 26.27, UG - 23.98, LR;Triangulaire
"2701";46.54, RN - 28.51, ENS - 21.58, UG;Triangulaire
"2702";43.60, RN - 21.25, UG;Duel
"2703";48.88, RN - 21.35, ENS;Duel
"2704";41.64, RN - 34.27, UG;Duel
"2705";45.26, RN - 24.39, ENS - 21.28, UG;Triangulaire
"2801";33.66, RN - 32.89, ENS - 24.05, UG;Triangulaire
"2802";38.33, RN - 25.92, LR - 25.59, UG;Triangulaire
"2803";42.41, RN - 36.35, DVC;Duel
"2804";43.15, UXD - 39.44, ENS;Duel
"2901";33.00, ENS - 32.83, UG - 23.67, RN;Triangulaire
"2902";35.28, UG - 22.58, RN - 18.48, DVC;Triangulaire
"2903";38.92, ENS - 27.74, RN - 26.91, UG;Triangulaire
"2904";30.92, UG - 30.63, ENS - 25.86, RN;Triangulaire
"2905";30.30, ENS - 27.22, UG - 26.53, RN;Triangulaire
"2906";37.88, UG - 30.21, RN - 27.99, ENS;Triangulaire
"2907";31.06, UG - 30.66, ENS - 26.10, RN;Triangulaire
"2908";30.80, RN - 27.76, ENS - 22.17, DVG - 18.12, UG;Duel
"2A01";31.20, RN - 30.70, ENS;Duel
"2A02";35.10, RN - 26.45, REG;Duel
"2B01";31.74, REG - 28.80, RN;Duel
"2B02";34.05, DVD - 28.63, REG - 25.42, RN;Triangulaire
"3001";43.91, RN - 29.54, UG - 20.10, ENS;Triangulaire
"3002";52.22, RN;Elu
"3003";47.48, RN - 22.91, UG - 19.21, ENS;Triangulaire
"3004";48.69, RN - 27.38, UG;Duel
"3005";41.01, UXD - 33.03, UG;Duel
"3006";42.07, RN - 28.77, UG - 20.73, ENS;Triangulaire
"3101";45.52, UG - 27.10, ENS - 21.32, RN;Triangulaire
"3102";40.53, UG - 27.91, ENS - 26.41, RN;Triangulaire
"3103";34.58, UG - 33.20, ENS - 21.38, RN;Triangulaire
"3104";53.39, UG;Elu
"3105";39.52, RN - 29.43, ENS - 27.66, UG;Triangulaire
"3106";34.03, UG - 30.92, RN - 29.60, ENS;Triangulaire
"3107";40.37, UXD - 33.17, UG - 24.81, ENS;Triangulaire
"3108";40.54, RN - 36.90, UG;Duel
"3109";47.53, UG - 24.89, RN - 22.36, ENS;Triangulaire
"3110";36.24, UG - 30.37, RN - 28.99, ENS;Triangulaire
"3201";35.71, RN - 30.90, ENS - 27.17, UG;Triangulaire
"3202";45.80, DVG - 35.49, RN;Duel
"3301";38.31, ENS - 34.23, UG - 21.00, RN;Triangulaire
"3302";49.45, UG - 29.08, ENS;Duel
"3303";49.83, UG - 27.75, ENS - 19.56, RN;Triangulaire
"3304";42.36, UG - 32.37, RN;Duel
"3305";42.32, RN - 31.79, UG - 18.59, ENS;Triangulaire
"3306";35.24, UG - 32.78, ENS - 27.07, RN;Triangulaire
"3307";38.50, UG - 33.12, ENS - 22.43, RN;Triangulaire
"3308";36.86, RN - 31.71, ENS - 18.70, UG;Triangulaire
"3309";38.54, RN - 30.03, ENS - 27.89, UG;Triangulaire
"3310";43.80, RN - 29.96, ENS - 24.29, UG;Triangulaire
"3311";53.33, RN;Elu
"3312";38.41, RN - 28.85, UG - 27.62, ENS;Triangulaire
"3401";34.11, UXD - 34.04, UG - 22.54, ENS;Triangulaire
"3402";58.22, UG;Elu
"3403";33.90, UG - 32.28, RN - 29.10, ENS;Triangulaire
"3404";41.26, RN - 33.00, UG - 22.56, ENS;Triangulaire
"3405";48.88, RN - 32.27, UG;Duel
"3406";41.05, RN - 27.25, DVD - 21.08, UG;Triangulaire
"3407";51.66, RN;Elu
"3408";40.12, RN - 32.71, UG;Duel
"3409";36.43, UXD - 29.27, UG - 25.00, ENS;Triangulaire
"3501";42.31, UG - 31.88, ENS - 17.65, RN;Triangulaire
"3502";40.31, UG - 34.24, ENS - 17.43, RN;Triangulaire
"3503";36.77, UG - 29.71, ENS - 28.12, RN;Triangulaire
"3504";32.30, RN - 32.10, UG - 24.06, ENS;Triangulaire
"3505";42.42, ENS - 29.82, RN - 25.85, UG;Triangulaire
"3506";41.81, ENS - 30.94, RN - 25.13, UG;Triangulaire
"3507";43.33, DVD - 28.20, RN - 22.23, UG;Triangulaire
"3508";52.84, UG;Elu
"3601";40.20, RN - 35.12, HOR - 21.69, UG;Triangulaire
"3602";41.71, UXD - 31.82, LR - 23.46, UG;Triangulaire
"3701";45.32, UG - 24.17, ENS;Duel
"3702";35.08, RN - 32.58, ENS - 23.33, UG;Triangulaire
"3703";32.87, ENS - 32.21, UXD - 25.56, UG;Triangulaire
"3704";32.89, RN - 29.73, UG - 27.65, ENS;Triangulaire
"3705";35.25, RN - 26.75, ENS - 24.13, UG;Triangulaire
"3801";40.19, UG - 33.62, ENS - 18.34, UXD;Triangulaire
"3802";42.17, UG - 30.50, RN - 19.23, ENS;Triangulaire
"3803";42.84, UG - 22.74, RN - 20.01, ENS;Triangulaire
"3804";42.52, UG - 32.12, UXD;Duel
"3805";36.42, UG - 30.80, RN - 20.53, ENS;Triangulaire
"3806";47.55, RN - 20.85, UG;Duel
"3807";42.10, RN - 27.56, LR - 19.81, UG;Triangulaire
"3808";39.92, UXD - 24.50, UG - 20.49, ENS;Triangulaire
"3809";34.04, RN - 27.99, UG - 27.26, ENS;Triangulaire
"3810";42.83, RN - 25.43, UG - 22.19, ENS;Triangulaire
"3901";39.03, RN - 36.16, ENS - 23.06, UG;Triangulaire
"3902";38.59, LR - 32.76, RN - 24.75, UG;Triangulaire
"3903";39.73, RN - 34.34, LR - 24.29, UG;Triangulaire
"4001";37.23, RN - 28.25, ENS - 27.08, UG;Triangulaire
"4002";32.60, RN - 30.05, ENS - 28.43, UG;Triangulaire
"4003";37.10, UG - 35.59, RN;Duel
"4101";35.22, RN - 34.56, ENS;Duel
"4102";49.72, RN - 20.07, DVD;Duel
"4103";41.06, RN - 36.25, ENS - 19.55, UG;Triangulaire
"4201";40.34, UG - 31.97, RN - 23.72, ENS;Triangulaire
"4202";43.09, UG - 27.13, RN - 23.08, UDI;Triangulaire
"4203";40.89, RN - 29.11, ENS - 27.34, UG;Triangulaire
"4204";40.80, RN - 30.72, LR - 26.54, UG;Triangulaire
"4205";41.99, LR - 36.09, RN - 18.35, UG;Triangulaire
"4206";39.71, RN - 27.81, LR;Duel
"4301";36.80, LR - 34.18, RN - 18.66, UG;Triangulaire
"4302";38.69, LR - 32.08, RN - 19.55, UG;Triangulaire
"4401";43.20, UG - 37.39, ENS - 18.13, RN;Triangulaire
"4402";51.67, UG;Elu
"4403";44.55, UG - 24.57, ENS - 20.43, RN;Triangulaire
"4404";46.83, UG - 22.66, ENS - 20.06, RN;Triangulaire
"4405";37.73, UG - 36.17, ENS - 24.73, UXD;Triangulaire
"4406";34.16, UG - 32.85, RN - 29.18, DVD;Triangulaire
"4407";28.49, ENS - 28.15, UXD - 24.11, UG;Triangulaire
"4408";30.99, UG - 28.87, RN - 20.28, ENS;Triangulaire
"4409";32.63, DVD - 32.51, RN - 26.36, UG;Triangulaire
"4410";30.57, ENS - 27.80, UG - 26.16, RN;Triangulaire
"4501";31.60, ENS - 31.47, UG - 28.03, RN;Triangulaire
"4502";32.91, RN - 28.03, UG - 23.03, ENS;Triangulaire
"4503";45.53, RN - 32.04, DVD - 19.36, UG;Triangulaire
"4504";49.65, RN - 21.14, UG;Duel
"4505";43.37, RN - 22.01, ENS - 19.77, UG;Triangulaire
"4506";31.81, RN - 30.60, ENS - 29.70, UG;Triangulaire
"4601";42.25, LR - 24.33, UG - 23.06, RN;Triangulaire
"4602";38.22, UG - 30.38, RN - 26.96, ENS;Triangulaire
"4701";43.11, RN - 28.41, ENS - 25.63, UG;Triangulaire
"4702";49.31, RN - 26.89, UG - 21.99, ENS;Triangulaire
"4703";41.08, RN - 24.99, DVD;Duel
"4801";35.17, UG - 33.91, RN - 24.04, DVD;Triangulaire
"4901";34.83, ENS - 33.82, UG - 23.12, RN;Triangulaire
"4902";33.10, ENS - 28.32, UG - 24.25, RN;Triangulaire
"4903";37.84, RN - 23.87, LR - 19.92, UG;Triangulaire
"4904";34.90, RN - 34.87, ENS - 20.59, UG;Triangulaire
"4905";33.70, ENS - 30.54, UXD - 21.33, UG;Triangulaire
"4906";35.28, ENS - 28.82, RN - 24.79, UG;Triangulaire
"4907";33.86, ENS - 29.07, UG - 27.38, RN;Triangulaire
"5001";38.30, DVD - 32.89, RN;Duel
"5002";39.91, ENS - 31.84, RN;Duel
"5003";33.89, UXD - 33.24, ENS - 20.01, UG;Triangulaire
"5004";34.23, UG - 30.01, UXD;Duel
"5101";37.30, DVD - 33.84, ENS - 27.05, UG;Triangulaire
"5102";36.34, RN - 30.39, ENS - 21.75, UG;Triangulaire
"5103";43.84, UXD - 31.92, ENS;Duel
"5104";42.77, RN - 30.98, ENS;Duel
"5105";46.99, RN - 42.66, DVC;Duel
"5201";48.83, RN - 28.05, ENS - 20.38, UG;Triangulaire
"5202";56.82, RN;Elu
"5301";45.39, UG - 28.59, RN - 20.10, UDI;Triangulaire
"5302";35.17, ENS - 31.79, RN - 22.77, UG;Triangulaire
"5303";48.68, HOR - 31.11, RN - 19.18, UG;Triangulaire
"5401";37.73, UG - 26.90, RN - 26.38, ENS;Triangulaire
"5402";39.91, UG - 30.74, ENS - 22.45, RN;Triangulaire
"5403";43.46, RN - 28.49, UG;Duel
"5404";43.70, RN - 33.21, LR - 20.59, UG;Triangulaire
"5405";43.47, UG - 30.45, EXD;Duel
"5406";44.53, RN - 26.73, UG;Duel
"5501";47.95, RN - 34.22, DVD;Duel
"5502";50.63, RN;Elu
"5601";42.13, ENS - 28.24, UG - 25.37, RN;Triangulaire
"5602";32.14, ENS - 30.03, RN - 25.80, UG;Triangulaire
"5603";35.85, RN - 26.57, ENS - 20.41, UG;Triangulaire
"5604";35.84, REG - 31.51, RN;Duel
"5605";35.56, UG - 34.60, ENS - 27.90, RN;Triangulaire
"5606";34.69, RN - 33.08, ENS - 23.75, UG;Triangulaire
"5701";39.81, RN - 27.59, ENS - 26.10, UG;Triangulaire
"5702";37.48, RN - 30.22, ENS - 26.61, UG;Triangulaire
"5703";35.32, RN - 34.66, UDI - 28.27, UG;Triangulaire
"5704";42.66, RN - 35.75, LR;Duel
"5705";47.52, RN - 34.23, LR;Duel
"5706";50.90, RN;Elu
"5707";53.33, RN;Elu
"5708";46.36, RN - 28.98, UG;Duel
